employee_id,first_name,last_name,email,country,city,job_title,department,currency,annual_salary_local,annual_salary_usd,hire_date,years_of_service,performance,remote_status
USA0001,USAEmp1,Last1,usa1@company.com,United States,Seattle,Sales Manager,Product,USD,77296,77296.0,2025-10-16,0.3,Excellent,Remote
USA0002,USAEmp2,Last2,usa2@company.com,United States,Boston,Sales Manager,Engineering,USD,76717,76717.0,2018-06-26,7.6,Satisfactory,Remote
USA0003,USAEmp3,Last3,usa3@company.com,United States,New York,Software Engineer,HR,USD,96140,96140.0,2023-08-15,2.5,Outstanding,On-Site
USA0004,USAEmp4,Last4,usa4@company.com,United States,Boston,Senior Software Engineer,Marketing,USD,176925,176925.0,2018-10-14,7.3,Excellent,Hybrid
USA0005,USAEmp5,Last5,usa5@company.com,United States,San Francisco,Engineering Manager,Product,USD,176463,176463.0,2016-12-29,9.1,Satisfactory,Hybrid
USA0006,USAEmp6,Last6,usa6@company.com,United States,Seattle,Data Scientist,Engineering,USD,105189,105189.0,2023-08-29,2.4,Outstanding,Hybrid
USA0007,USAEmp7,Last7,usa7@company.com,United States,Seattle,Software Engineer,HR,USD,113526,113526.0,2016-07-26,9.5,Good,Remote
USA0008,USAEmp8,Last8,usa8@company.com,United States,San Francisco,Sales Manager,Marketing,USD,100108,100108.0,2020-01-22,6.0,Outstanding,On-Site
USA0009,USAEmp9,Last9,usa9@company.com,United States,Seattle,Data Scientist,HR,USD,136198,136198.0,2019-02-19,6.9,Excellent,On-Site
USA0010,USAEmp10,Last10,usa10@company.com,United States,New York,Software Engineer,Sales,USD,93003,93003.0,2018-08-28,7.4,Outstanding,Remote
USA0011,USAEmp11,Last11,usa11@company.com,United States,Austin,Software Engineer,Finance,USD,114911,114911.0,2022-12-15,3.1,Good,Remote
USA0012,USAEmp12,Last12,usa12@company.com,United States,Seattle,Data Scientist,Finance,USD,118283,118283.0,2023-09-21,2.3,Outstanding,On-Site
USA0013,USAEmp13,Last13,usa13@company.com,United States,New York,Sales Manager,Product,USD,81215,81215.0,2020-01-31,6.0,Satisfactory,Hybrid
USA0014,USAEmp14,Last14,usa14@company.com,United States,Boston,Data Scientist,Product,USD,136943,136943.0,2018-05-10,7.7,Good,Remote
USA0015,USAEmp15,Last15,usa15@company.com,United States,Seattle,Senior Software Engineer,Marketing,USD,183857,183857.0,2025-09-17,0.4,Good,Remote
USA0016,USAEmp16,Last16,usa16@company.com,United States,Seattle,Senior Software Engineer,Product,USD,189843,189843.0,2019-09-17,6.4,Satisfactory,Hybrid
USA0017,USAEmp17,Last17,usa17@company.com,United States,Seattle,Sales Manager,Product,USD,100071,100071.0,2024-06-20,1.6,Excellent,On-Site
USA0018,USAEmp18,Last18,usa18@company.com,United States,Boston,Engineering Manager,Marketing,USD,174438,174438.0,2017-09-11,8.4,Satisfactory,Hybrid
USA0019,USAEmp19,Last19,usa19@company.com,United States,Austin,Senior Software Engineer,Engineering,USD,139065,139065.0,2020-05-10,5.7,Outstanding,Remote
USA0020,USAEmp20,Last20,usa20@company.com,United States,Austin,Senior Software Engineer,HR,USD,171120,171120.0,2024-04-11,1.8,Outstanding,Hybrid
USA0021,USAEmp21,Last21,usa21@company.com,United States,Boston,Product Manager,Sales,USD,149052,149052.0,2020-10-27,5.2,Outstanding,On-Site
USA0022,USAEmp22,Last22,usa22@company.com,United States,Boston,Sales Manager,Sales,USD,77507,77507.0,2018-06-05,7.6,Good,Remote
USA0023,USAEmp23,Last23,usa23@company.com,United States,Austin,Data Scientist,Engineering,USD,123492,123492.0,2024-04-19,1.8,Good,On-Site
USA0024,USAEmp24,Last24,usa24@company.com,United States,Seattle,Senior Software Engineer,Finance,USD,163271,163271.0,2024-11-17,1.2,Excellent,Remote
USA0025,USAEmp25,Last25,usa25@company.com,United States,Boston,Data Scientist,HR,USD,144971,144971.0,2024-04-05,1.8,Outstanding,On-Site
USA0026,USAEmp26,Last26,usa26@company.com,United States,San Francisco,Data Scientist,Sales,USD,127021,127021.0,2025-11-08,0.2,Good,Remote
USA0027,USAEmp27,Last27,usa27@company.com,United States,Boston,Software Engineer,Engineering,USD,105785,105785.0,2016-03-23,9.8,Outstanding,On-Site
USA0028,USAEmp28,Last28,usa28@company.com,United States,Boston,Product Manager,Product,USD,114535,114535.0,2017-07-17,8.5,Excellent,On-Site
USA0029,USAEmp29,Last29,usa29@company.com,United States,Seattle,Product Manager,HR,USD,146031,146031.0,2024-03-21,1.9,Satisfactory,Remote
USA0030,USAEmp30,Last30,usa30@company.com,United States,Seattle,Engineering Manager,Marketing,USD,166365,166365.0,2018-01-28,8.0,Good,Hybrid
USA0031,USAEmp31,Last31,usa31@company.com,United States,New York,Engineering Manager,Product,USD,199177,199177.0,2024-09-18,1.4,Outstanding,Hybrid
USA0032,USAEmp32,Last32,usa32@company.com,United States,New York,Software Engineer,HR,USD,128555,128555.0,2019-11-11,6.2,Excellent,Remote
USA0033,USAEmp33,Last33,usa33@company.com,United States,San Francisco,Software Engineer,Product,USD,136389,136389.0,2018-12-30,7.1,Outstanding,Remote
USA0034,USAEmp34,Last34,usa34@company.com,United States,New York,Data Scientist,Sales,USD,99643,99643.0,2020-04-22,5.8,Satisfactory,Remote
USA0035,USAEmp35,Last35,usa35@company.com,United States,Boston,Engineering Manager,HR,USD,157342,157342.0,2017-12-17,8.1,Satisfactory,Remote
USA0036,USAEmp36,Last36,usa36@company.com,United States,San Francisco,Product Manager,Engineering,USD,136677,136677.0,2023-12-09,2.1,Satisfactory,Hybrid
USA0037,USAEmp37,Last37,usa37@company.com,United States,San Francisco,Product Manager,Finance,USD,136941,136941.0,2020-11-01,5.2,Outstanding,Remote
USA0038,USAEmp38,Last38,usa38@company.com,United States,San Francisco,Product Manager,Product,USD,157724,157724.0,2022-04-08,3.8,Excellent,Remote
USA0039,USAEmp39,Last39,usa39@company.com,United States,Austin,Engineering Manager,Product,USD,198800,198800.0,2024-07-01,1.6,Good,Hybrid
USA0040,USAEmp40,Last40,usa40@company.com,United States,Austin,Senior Software Engineer,HR,USD,187310,187310.0,2025-03-24,0.8,Outstanding,Remote
USA0041,USAEmp41,Last41,usa41@company.com,United States,San Francisco,Sales Manager,Engineering,USD,105427,105427.0,2016-09-11,9.4,Excellent,Remote
USA0042,USAEmp42,Last42,usa42@company.com,United States,New York,Product Manager,Marketing,USD,141826,141826.0,2020-09-03,5.4,Outstanding,Remote
USA0043,USAEmp43,Last43,usa43@company.com,United States,Seattle,Product Manager,Marketing,USD,110141,110141.0,2021-09-10,4.4,Good,Hybrid
USA0044,USAEmp44,Last44,usa44@company.com,United States,Boston,Sales Manager,Finance,USD,117874,117874.0,2017-04-15,8.8,Satisfactory,Remote
USA0045,USAEmp45,Last45,usa45@company.com,United States,San Francisco,Senior Software Engineer,HR,USD,149445,149445.0,2023-08-19,2.4,Outstanding,On-Site
USA0046,USAEmp46,Last46,usa46@company.com,United States,Boston,Data Scientist,Marketing,USD,98746,98746.0,2025-07-05,0.6,Excellent,Remote
USA0047,USAEmp47,Last47,usa47@company.com,United States,New York,Engineering Manager,Engineering,USD,150500,150500.0,2016-07-10,9.5,Outstanding,On-Site
USA0048,USAEmp48,Last48,usa48@company.com,United States,Boston,Senior Software Engineer,Product,USD,156461,156461.0,2024-09-22,1.3,Outstanding,On-Site
USA0049,USAEmp49,Last49,usa49@company.com,United States,Boston,Software Engineer,HR,USD,117474,117474.0,2018-09-13,7.4,Good,Hybrid
USA0050,USAEmp50,Last50,usa50@company.com,United States,Seattle,Senior Software Engineer,Product,USD,173891,173891.0,2018-01-15,8.0,Good,Hybrid
USA0051,USAEmp51,Last51,usa51@company.com,United States,Seattle,Senior Software Engineer,Marketing,USD,174019,174019.0,2018-11-01,7.2,Good,Remote
USA0052,USAEmp52,Last52,usa52@company.com,United States,Boston,Software Engineer,Engineering,USD,120034,120034.0,2019-02-08,7.0,Outstanding,On-Site
USA0053,USAEmp53,Last53,usa53@company.com,United States,New York,Senior Software Engineer,Sales,USD,163153,163153.0,2023-02-05,3.0,Outstanding,Remote
USA0054,USAEmp54,Last54,usa54@company.com,United States,Austin,Data Scientist,HR,USD,113676,113676.0,2024-04-20,1.8,Good,On-Site
USA0055,USAEmp55,Last55,usa55@company.com,United States,Boston,Sales Manager,Sales,USD,104664,104664.0,2025-12-25,0.1,Outstanding,Remote
USA0056,USAEmp56,Last56,usa56@company.com,United States,San Francisco,Data Scientist,Finance,USD,102564,102564.0,2016-02-04,10.0,Excellent,Hybrid
USA0057,USAEmp57,Last57,usa57@company.com,United States,Seattle,Data Scientist,Product,USD,134638,134638.0,2023-09-17,2.4,Good,On-Site
USA0058,USAEmp58,Last58,usa58@company.com,United States,San Francisco,Product Manager,Engineering,USD,126457,126457.0,2016-08-01,9.5,Satisfactory,Hybrid
USA0059,USAEmp59,Last59,usa59@company.com,United States,New York,Software Engineer,Finance,USD,90232,90232.0,2022-05-01,3.7,Good,Remote
USA0060,USAEmp60,Last60,usa60@company.com,United States,Austin,Sales Manager,HR,USD,98956,98956.0,2019-11-20,6.2,Outstanding,Remote
USA0061,USAEmp61,Last61,usa61@company.com,United States,Boston,Software Engineer,Engineering,USD,135286,135286.0,2024-05-26,1.7,Good,On-Site
USA0062,USAEmp62,Last62,usa62@company.com,United States,New York,Engineering Manager,Engineering,USD,159410,159410.0,2021-04-02,4.8,Good,Hybrid
USA0063,USAEmp63,Last63,usa63@company.com,United States,New York,Software Engineer,Finance,USD,113449,113449.0,2023-09-19,2.4,Outstanding,Hybrid
USA0064,USAEmp64,Last64,usa64@company.com,United States,New York,Engineering Manager,Product,USD,193264,193264.0,2019-02-10,7.0,Excellent,Remote
USA0065,USAEmp65,Last65,usa65@company.com,United States,Seattle,Product Manager,Marketing,USD,111624,111624.0,2024-01-23,2.0,Excellent,Hybrid
USA0066,USAEmp66,Last66,usa66@company.com,United States,San Francisco,Senior Software Engineer,Marketing,USD,181601,181601.0,2018-03-17,7.9,Outstanding,Hybrid
USA0067,USAEmp67,Last67,usa67@company.com,United States,Austin,Senior Software Engineer,Sales,USD,143079,143079.0,2016-11-30,9.2,Good,Remote
USA0068,USAEmp68,Last68,usa68@company.com,United States,New York,Senior Software Engineer,Marketing,USD,131550,131550.0,2018-09-02,7.4,Good,Hybrid
USA0069,USAEmp69,Last69,usa69@company.com,United States,Boston,Software Engineer,Marketing,USD,108292,108292.0,2022-02-18,3.9,Good,Remote
USA0070,USAEmp70,Last70,usa70@company.com,United States,Boston,Software Engineer,Sales,USD,107118,107118.0,2024-01-26,2.0,Outstanding,Remote
USA0071,USAEmp71,Last71,usa71@company.com,United States,Seattle,Engineering Manager,Marketing,USD,196959,196959.0,2022-03-13,3.9,Outstanding,Hybrid
USA0072,USAEmp72,Last72,usa72@company.com,United States,San Francisco,Engineering Manager,Finance,USD,164914,164914.0,2023-03-20,2.9,Satisfactory,Remote
USA0073,USAEmp73,Last73,usa73@company.com,United States,Austin,Engineering Manager,Engineering,USD,165825,165825.0,2021-12-27,4.1,Good,On-Site
USA0074,USAEmp74,Last74,usa74@company.com,United States,San Francisco,Data Scientist,Finance,USD,138475,138475.0,2016-07-24,9.5,Good,On-Site
USA0075,USAEmp75,Last75,usa75@company.com,United States,Seattle,Data Scientist,Marketing,USD,138705,138705.0,2021-06-29,4.6,Good,On-Site
USA0076,USAEmp76,Last76,usa76@company.com,United States,Austin,Senior Software Engineer,Finance,USD,142572,142572.0,2021-05-10,4.7,Excellent,On-Site
USA0077,USAEmp77,Last77,usa77@company.com,United States,Boston,Engineering Manager,Engineering,USD,179446,179446.0,2021-07-08,4.6,Good,Hybrid
USA0078,USAEmp78,Last78,usa78@company.com,United States,Boston,Senior Software Engineer,HR,USD,158173,158173.0,2017-04-05,8.8,Good,Hybrid
USA0079,USAEmp79,Last79,usa79@company.com,United States,New York,Product Manager,HR,USD,138977,138977.0,2018-06-30,7.6,Satisfactory,On-Site
USA0080,USAEmp80,Last80,usa80@company.com,United States,Seattle,Senior Software Engineer,HR,USD,173178,173178.0,2025-02-13,1.0,Good,Remote
USA0081,USAEmp81,Last81,usa81@company.com,United States,New York,Senior Software Engineer,Product,USD,174092,174092.0,2022-08-04,3.5,Excellent,Remote
USA0082,USAEmp82,Last82,usa82@company.com,United States,Boston,Software Engineer,Engineering,USD,106046,106046.0,2020-09-28,5.3,Satisfactory,Hybrid
USA0083,USAEmp83,Last83,usa83@company.com,United States,Austin,Sales Manager,Marketing,USD,107727,107727.0,2023-11-22,2.2,Satisfactory,Remote
USA0084,USAEmp84,Last84,usa84@company.com,United States,San Francisco,Senior Software Engineer,Engineering,USD,172995,172995.0,2018-05-12,7.7,Satisfactory,Remote
USA0085,USAEmp85,Last85,usa85@company.com,United States,Boston,Senior Software Engineer,Marketing,USD,182698,182698.0,2018-04-08,7.8,Outstanding,On-Site
USA0086,USAEmp86,Last86,usa86@company.com,United States,Austin,Senior Software Engineer,Product,USD,185596,185596.0,2024-09-16,1.4,Satisfactory,On-Site
USA0087,USAEmp87,Last87,usa87@company.com,United States,Austin,Engineering Manager,HR,USD,181588,181588.0,2017-08-08,8.5,Satisfactory,On-Site
USA0088,USAEmp88,Last88,usa88@company.com,United States,Austin,Product Manager,Marketing,USD,120430,120430.0,2017-09-24,8.3,Good,Remote
USA0089,USAEmp89,Last89,usa89@company.com,United States,Boston,Sales Manager,Marketing,USD,88173,88173.0,2017-06-26,8.6,Excellent,Hybrid
USA0090,USAEmp90,Last90,usa90@company.com,United States,Seattle,Product Manager,Product,USD,115077,115077.0,2018-01-26,8.0,Good,Hybrid
USA0091,USAEmp91,Last91,usa91@company.com,United States,New York,Data Scientist,Product,USD,130399,130399.0,2025-03-02,0.9,Excellent,Hybrid
USA0092,USAEmp92,Last92,usa92@company.com,United States,New York,Sales Manager,Engineering,USD,80014,80014.0,2018-02-24,7.9,Satisfactory,Hybrid
USA0093,USAEmp93,Last93,usa93@company.com,United States,Austin,Data Scientist,Engineering,USD,130560,130560.0,2020-11-05,5.2,Excellent,Hybrid
USA0094,USAEmp94,Last94,usa94@company.com,United States,San Francisco,Product Manager,HR,USD,148278,148278.0,2018-04-10,7.8,Satisfactory,Hybrid
USA0095,USAEmp95,Last95,usa95@company.com,United States,Austin,Software Engineer,Marketing,USD,113052,113052.0,2022-09-21,3.3,Excellent,Hybrid
USA0096,USAEmp96,Last96,usa96@company.com,United States,Austin,Senior Software Engineer,Engineering,USD,147887,147887.0,2021-03-08,4.9,Satisfactory,Hybrid
USA0097,USAEmp97,Last97,usa97@company.com,United States,Austin,Sales Manager,Finance,USD,114508,114508.0,2017-02-13,9.0,Excellent,Hybrid
USA0098,USAEmp98,Last98,usa98@company.com,United States,San Francisco,Senior Software Engineer,Marketing,USD,170780,170780.0,2020-01-31,6.0,Outstanding,Remote
USA0099,USAEmp99,Last99,usa99@company.com,United States,Austin,Sales Manager,Product,USD,98089,98089.0,2024-07-20,1.5,Outstanding,Hybrid
USA0100,USAEmp100,Last100,usa100@company.com,United States,Austin,Product Manager,Sales,USD,131453,131453.0,2023-09-13,2.4,Good,Hybrid
USA0101,USAEmp101,Last101,usa101@company.com,United States,Austin,Data Scientist,Sales,USD,144283,144283.0,2016-09-28,9.3,Outstanding,Hybrid
USA0102,USAEmp102,Last102,usa102@company.com,United States,San Francisco,Software Engineer,Sales,USD,139088,139088.0,2020-01-09,6.0,Excellent,On-Site
USA0103,USAEmp103,Last103,usa103@company.com,United States,San Francisco,Software Engineer,Product,USD,132713,132713.0,2025-08-15,0.4,Excellent,Remote
USA0104,USAEmp104,Last104,usa104@company.com,United States,New York,Engineering Manager,Marketing,USD,159973,159973.0,2023-05-25,2.7,Outstanding,On-Site
USA0105,USAEmp105,Last105,usa105@company.com,United States,Seattle,Senior Software Engineer,Sales,USD,160476,160476.0,2018-03-24,7.8,Excellent,On-Site
USA0106,USAEmp106,Last106,usa106@company.com,United States,New York,Engineering Manager,Sales,USD,155012,155012.0,2017-05-08,8.7,Outstanding,On-Site
